% Model:              hexGeModeAnalysisv2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2024, 16:32
% Table:              Table 85 - data_to_export
% omega (GHz)                                     Out-of-plane wave number (rad/m)                  N^2 (m^2)                                         wxy (1)                                           wxz (1)                                           wyz (1)                                           mode (m^2)
0.75                                              1.0557709109688763E7-3.424631795638469E-6i        2.999349625229701                                 -0.013738256807923266-1.1811754127922192E-5i      -12906.470635695036+1.7980194093536943E7i         -0.007464960030870611-0.1269297149139125i         7
0.75                                              -1.0557709109688763E7-3.424631795638469E-6i       2.999349625229701                                 -0.013738256807923266+1.1811754127922192E-5i      -12906.470635695036-1.7980194093536943E7i         -0.007464960030870611+0.1269297149139125i         7
0.75                                              1.0575182817088012E7-2.155559575475237E-6i        2.9991610586326582                                -0.06874513079958303+2.8934821806684072E-5i       -0.015918974009213955+0.11045497170219502i        7400.1242501591705+1.794273037548939E7i           8
0.75                                              -1.0575182817088012E7-2.155559575475237E-6i       2.9991610586326582                                -0.06874513079958303-2.8934821806684072E-5i       -0.015918974009213955-0.11045497170219502i        7400.1242501591705-1.794273037548939E7i           8
0.8                                               1013293.5958262036-3.800969944357261E-7i          3.0000021192508237                                -8.982067350254627E-5-8.543418505215132E-6i       -2.9191103289283245E-7-6.278340062313175E-8i      -3.1741158437141025E-7-2.3805962234303858E-7i     4
0.8                                               -1013293.5958262036-3.800969944357261E-7i         3.0000021192508237                                -8.982067350254627E-5+8.543418505215132E-6i       -2.9191103289283245E-7+6.278340062313175E-8i      -3.1741158437141025E-7+2.3805962234303858E-7i     4
0.8                                               1859681.7827177192+5.536237617266412E-8i          2.909651924087266                                 -1.3927449487969673E8-121214.48122935969i         -9.540063480255632E-6+0.011157848607359263i       -3.227448339490521E-5+0.03694138080008965i        6
0.8                                               -1859681.7827177192+5.536237617266412E-8i         2.909651924087266                                 -1.3927449487969673E8+121214.48122935969i         -9.540063480255632E-6-0.011157848607359263i       -3.227448339490521E-5-0.03694138080008965i        6
0.8                                               1.0909746695489299E7+3.5230973675422676E-6i       2.999307542398759                                 -0.014884392054140926-1.405268985669238E-5i       -13743.250451281863+1.855917676409684E7i          -0.013117684004566612-0.13013137927696927i        7
0.8                                               -1.0909746695489299E7+3.5230973675422676E-6i      2.999307542398759                                 -0.014884392054140926+1.405268985669238E-5i       -13743.250451281863-1.855917676409684E7i          -0.013117684004566612+0.13013137927696927i        7
0.8                                               1.092899741325016E7+1.0913525160957068E-6i        2.999106830973316                                 -0.07332520727142444+2.8619023191251452E-5i       0.01102645253347908+0.08559971238219086i          7873.646591170901+1.8518042853599485E7i           8
0.8                                               -1.092899741325016E7+1.0913525160957068E-6i       2.999106830973316                                 -0.07332520727142444-2.8619023191251452E-5i       0.01102645253347908-0.08559971238219086i          7873.646591170901-1.8518042853599485E7i           8
0.8500000000000001                                1076624.8792552706-8.582125959849746E-8i          3.0000023924542867                                -3.324561390600024E-5+3.354312209601064E-6i       -2.4282352678415624E-7-1.3895748983026923E-7i     1.3723976818183638E-7-6.459217776924719E-9i       4
0.8500000000000001                                -1076624.8792552706-8.582125959849746E-8i         3.0000023924542867                                -3.324561390600024E-5-3.354312209601064E-6i       -2.4282352678415624E-7+1.3895748983026923E-7i     1.3723976818183638E-7+6.459217776924719E-9i       4
0.8500000000000001                                1975911.1076198618+8.998404632514846E-8i          2.909651453087491                                 -1.3927434730061325E8-128783.38481936537i         -1.0208552310774596E-5+0.011941742590516813i      -3.716801498766604E-5+0.03927602082549833i        6
0.8500000000000001                                -1975911.1076198618+8.998404632514846E-8i         2.909651453087491                                 -1.3927434730061325E8+128783.38481936537i         -1.0208552310774596E-5-0.011941742590516813i      -3.716801498766604E-5-0.03927602082549833i        6
0.8500000000000001                                1.1251477567380097E7+2.56141547880152E-6i         2.999265613596391                                 -0.01579081623442722-1.076420870960284E-5i        -14577.172726418903+1.9119388092397932E7i         0.0026449758430829385-0.1271865077114021i         7
